Item,Description,Quantity,Individual piece quantity,Unit Price ($),Total Price ($),URL,	Running Total ($ with Tax)
SHOU HAN TYPE-C 16PIN 2MD(073),USB C Port,1,20,$1.41,$1.41,TYPE-C 16PIN 2MD(073) | SHOU HAN | Price | In Stock | LCSC Electronics,$12.03
CoreChips SL2.1s,USB 2.0 HUB Controller IC,1,5,$1.27,$1.27,SL2.1s | CoreChips | Price | In Stock | LCSC Electronics,$13.30
SHOU HAN 10.0 QHHTZB6.3,USB Type A Port,1,10,$0.64,$0.64,10.0 QHHTZB6.3 | SHOU HAN | Price | In Stock | LCSC Electronics,$14.07
SHOU HAN MICRO5.9mmusb,Micro B Port,1,20,$0.62,$0.62,MICRO5.9mmusb | SHOU HAN | Price | In Stock | LCSC Electronics,$15.25
FOJAN FRC0603F5602TS,56kΩ resistor,1,100,$0.20,$0.20,https://www.lcsc.com/product-detail/C2907053.html,$15.50
Samsung Electro-Mechanics CL10B105KA8NNNC,1uF capacitor,1,50,$1.10,$1.10,CL10B105KA8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,$18.10
FOJAN FRC0603F5101TS,5.1kΩ resistor,1,100,$0.22,$0.22,FRC0603F5101TS | FOJAN | Price | In Stock | LCSC Electronics,$18.37
PCB,Pcb from JLCPCB,1,1,$4.10,$4.10,https://jlcpcb.com/,$25.59
,,,,,,,
M3 (OD4mm) Length 4mm Heat Inserts,Heat inserts M3,1,50,$3.29,$3.29,https://www.aliexpress.us/item/3256810175696879.html,26.65
M4 (OD6mm) Length 4mm Heat Insert,Heat inserts M4,1,30,$3.38,$3.38,https://www.aliexpress.us/item/3256810175696879.html,29.86
M3 Length 4mm Screws,Screws,1,40,$1.37,$1.37,https://www.aliexpress.us/item/3256804341271555.html,33.35
"TPU 3D Printer Flexible Filament 250g (0.55lbs) 1.75mm Length 80M, Black, white",3D Printer Filament,1,1,$21.78,$21.78,https://www.aliexpress.us/item/3256811629074080.html,42.41